index,most_likely,num_votes,agreement,aggregation_version,subject_id,task,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at,subject_page_url
84156258,yes,6,0.6,4.1.0,84156258,T0,10996,13193.0,110870,"{""ramean"":7.767035283333333,""decmean"":48.109304900000005,""objectId"":""ZTF18adnogip""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e6b8626e-0baf-4c10-8861-5e2ce1c0ddd2.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/9b024ecd-3a1c-4622-b5fa-7cd05a2148de.jpeg""}",10,2023-06-26 23:34:37 UTC,classification_count,2023-01-11 11:45:09 UTC,2023-01-11 11:45:09 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84156258><div>84156258</div></a>
85600278,yes,6,0.6,4.1.0,85600278,T0,10996,13193.0,111579,"{""ramean"":15.316097873333332,""decmean"":44.04227902,""objectId"":""ZTF22abztcly""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/452136f5-8bf1-4c2f-9ac7-9d007b25d9b7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/d88ff31a-fa82-46a8-bf01-731dc155253f.jpeg""}",10,2023-06-19 20:26:07 UTC,classification_count,2023-02-16 16:13:52 UTC,2023-02-16 16:13:52 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/85600278><div>85600278</div></a>
92800276,yes,6,0.6,4.1.0,92800276,T0,10996,13193.0,116874,"{""ramean"":328.99945619999994,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aanlaas"",""decmean"":4.259428347826088,""objectId"":""ZTF22aanlaas""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c5aaf9e8-e194-4c82-a578-7ff9d7a01fce.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/4dea871f-e501-4ed4-8043-429c0925fca4.jpeg""}",10,2023-10-27 02:28:46 UTC,classification_count,2023-10-25 09:42:34 UTC,2023-10-25 09:42:34 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92800276><div>92800276</div></a>
92861866,yes,6,0.6,4.1.0,92861866,T0,10996,13193.0,116905,"{""ramean"":297.69214829615385,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aakusyr"",""decmean"":-13.380683219230768,""objectId"":""ZTF23aakusyr""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/24ba9b2a-1074-4b0e-8405-c9c81e058fe8.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/bd968a9c-f426-4412-a287-68ff5f93eae9.jpeg""}",10,2023-10-27 22:15:51 UTC,classification_count,2023-10-27 12:23:50 UTC,2023-10-27 12:23:50 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92861866><div>92861866</div></a>
84156266,yes,6,0.6,4.1.0,84156266,T0,10996,13193.0,110870,"{""ramean"":78.23018546363637,""decmean"":-2.401983636363636,""objectId"":""ZTF19acymakh""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d2aab33b-f628-4d92-9b93-ced427fd5cd0.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/8a94a8b1-5c44-457f-be73-8e3071338265.jpeg""}",10,2023-07-05 12:03:37 UTC,classification_count,2023-01-11 11:45:15 UTC,2023-01-11 11:45:15 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84156266><div>84156266</div></a>
93283806,yes,6,0.6,4.1.0,93283806,T0,10996,13193.0,117148,"{""ramean"":275.51332838125,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aanztsf"",""decmean"":52.3972026,""objectId"":""ZTF23aanztsf""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/685d85d6-7149-4699-bdf9-783782ec7760.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/8e6d1742-2afc-46e3-b051-3939f31edc89.jpeg""}",10,2023-11-11 15:03:58 UTC,classification_count,2023-11-08 10:12:50 UTC,2023-11-08 10:12:50 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/93283806><div>93283806</div></a>
92045337,yes,6,0.6,4.1.0,92045337,T0,10996,13193.0,115884,"{""ramean"":258.5356867636364,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aalftvv"",""decmean"":81.07483361818181,""objectId"":""ZTF23aalftvv""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3767a016-bc41-48e8-acf7-ed2c9ab0f71a.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/799c0f80-e4a4-4b99-959c-9b33e8f99fcb.jpeg""}",10,2023-10-14 02:18:25 UTC,classification_count,2023-09-27 10:05:53 UTC,2023-09-27 10:05:53 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92045337><div>92045337</div></a>
92800283,yes,6,0.6,4.1.0,92800283,T0,10996,13193.0,116874,"{""ramean"":345.74417707500004,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23abhvybz"",""decmean"":41.71271565625,""objectId"":""ZTF23abhvybz""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f23e28f2-9af1-4ebd-8588-e8022d75d8bf.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/8d36ce28-b6a7-4a2c-b15f-8cced089c7c0.jpeg""}",10,2023-10-27 09:24:28 UTC,classification_count,2023-10-25 09:42:36 UTC,2023-10-25 09:42:36 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92800283><div>92800283</div></a>
92800288,yes,6,0.6,4.1.0,92800288,T0,10996,13193.0,116874,"{""ramean"":280.42305616190475,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23abceaws"",""decmean"":-7.159492385714285,""objectId"":""ZTF23abceaws""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/dae05db8-bf4b-4049-8aeb-085e2a3f06ac.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/209e42a7-ea6f-404a-97a2-c5eaacee1e46.jpeg""}",10,2023-10-27 02:31:24 UTC,classification_count,2023-10-25 09:42:38 UTC,2023-10-25 09:42:38 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92800288><div>92800288</div></a>
92800286,yes,6,0.6,4.1.0,92800286,T0,10996,13193.0,116874,"{""ramean"":275.51332601176466,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aanztsf"",""decmean"":52.39719215294117,""objectId"":""ZTF23aanztsf""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e278285c-de68-4ae6-862a-46b8347cf271.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/b273f01d-3aad-4839-918a-2a4f94a50a30.jpeg""}",10,2023-10-27 02:53:55 UTC,classification_count,2023-10-25 09:42:37 UTC,2023-10-25 09:42:37 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92800286><div>92800286</div></a>
93283787,yes,6,0.6,4.1.0,93283787,T0,10996,13193.0,117148,"{""ramean"":302.81933817826086,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aarmsni"",""decmean"":4.899072639130435,""objectId"":""ZTF22aarmsni""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a4cd5eb1-507e-4689-b212-3c54bdd26fbf.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/7b6703e0-f7f4-4d20-9174-805dd9622ca6.jpeg""}",10,2023-11-11 16:33:48 UTC,classification_count,2023-11-08 10:12:47 UTC,2023-11-08 10:12:47 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/93283787><div>93283787</div></a>
84156253,yes,6,0.6,4.1.0,84156253,T0,10996,13193.0,110870,"{""ramean"":32.13837014545455,""decmean"":52.82677298181818,""objectId"":""ZTF22abtcpig""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/40200ff5-a2bc-4215-bbec-5c2b37efc3b6.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/1002ae6a-b506-40f5-9438-d708fdfcc0c4.jpeg""}",10,2023-07-06 22:48:36 UTC,classification_count,2023-01-11 11:45:05 UTC,2023-01-11 11:45:05 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84156253><div>84156253</div></a>
92861877,yes,6,0.6,4.1.0,92861877,T0,10996,13193.0,116905,"{""ramean"":231.49535643500002,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aaphbqa"",""decmean"":-0.29180894,""objectId"":""ZTF22aaphbqa""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/937a5280-bc22-4ac5-aa0d-7640ba3a7166.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/20afab39-81c3-4049-aacb-1591284c216d.jpeg""}",10,2023-10-27 22:10:59 UTC,classification_count,2023-10-27 12:23:58 UTC,2023-10-27 12:23:58 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92861877><div>92861877</div></a>
84251135,yes,6,0.6,4.1.0,84251135,T0,10996,13193.0,110962,"{""ramean"":20.631480145454546,""decmean"":5.278644027272727,""objectId"":""ZTF22abvcigm""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/394cca20-6c76-47b9-9e43-9a46f53e405c.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/b581de24-d97e-4522-9026-6ba8a4637e47.jpeg""}",10,2023-06-20 06:37:30 UTC,classification_count,2023-01-15 13:20:46 UTC,2023-01-15 13:20:46 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84251135><div>84251135</div></a>
92861982,yes,6,0.6,4.1.0,92861982,T0,10996,13193.0,116905,"{""ramean"":166.85626375,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aaeaocr"",""decmean"":18.21616722222222,""objectId"":""ZTF23aaeaocr""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d9ab05c3-ccba-4ca4-aeb6-b2d119429d3e.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/116e5457-f9e0-4b9e-8123-5a6c2bd9a4cb.jpeg""}",10,2023-10-27 22:09:39 UTC,classification_count,2023-10-27 12:25:28 UTC,2023-10-27 12:25:28 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92861982><div>92861982</div></a>
92861981,yes,6,0.6,4.1.0,92861981,T0,10996,13193.0,116905,"{""ramean"":264.4901894882353,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aaawbre"",""decmean"":60.88250958235294,""objectId"":""ZTF23aaawbre""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b888aaa6-9e64-4fab-9669-e163961a9d6c.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/4fe03ae9-88b8-4ecd-8cd0-f1e2d1b1778f.jpeg""}",10,2023-10-27 22:31:35 UTC,classification_count,2023-10-27 12:25:27 UTC,2023-10-27 12:25:27 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92861981><div>92861981</div></a>
93283533,yes,6,0.6,4.1.0,93283533,T0,10996,13193.0,117148,"{""ramean"":81.91553229444445,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23abcyaug"",""decmean"":-10.841813827777777,""objectId"":""ZTF23abcyaug""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d57fab99-12a1-4a47-baac-3f3a0d44d586.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/bc49d958-74d0-4536-8503-f466244ee8e0.jpeg""}",10,2023-11-11 06:10:58 UTC,classification_count,2023-11-08 10:12:07 UTC,2023-11-08 10:12:07 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/93283533><div>93283533</div></a>
92788389,yes,6,0.6,4.1.0,92788389,T0,10996,13193.0,116866,"{""ramean"":289.89929795,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aawkkta"",""decmean"":51.97185925,""objectId"":""ZTF22aawkkta""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/eddf3228-8e91-4b2c-a617-e29286d7f879.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/edcce059-fbfb-45b9-8b48-fd159f011e87.jpeg""}",10,2023-10-27 09:15:01 UTC,classification_count,2023-10-24 21:41:58 UTC,2023-10-24 21:41:58 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92788389><div>92788389</div></a>
93283783,yes,6,0.6,4.1.0,93283783,T0,10996,13193.0,117148,"{""ramean"":269.71642624000003,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aaqhlqa"",""decmean"":62.23919543999999,""objectId"":""ZTF22aaqhlqa""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/db3998e9-ce9c-4d4d-9fcb-e8ab702af2a5.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/b95c015d-f0dc-440e-8413-c71409b2b44b.jpeg""}",10,2023-11-11 13:51:35 UTC,classification_count,2023-11-08 10:12:47 UTC,2023-11-08 10:12:47 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/93283783><div>93283783</div></a>
